Longitude,Latitude,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy,ClusterIds
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
152.5,-31.5,5181.6,75.0,150.0,3543.0,3558.0,279.0,297.0,293516.0,298293.0,1.0,11.0,3579.78,0.31,0.51,75.0,3.0,3.0,1.0
153.5,-31.5,4897.8,75.0,150.0,3553.0,3565.0,278.7,297.0,293303.0,298073.0,1.0,10.51,5235.95,0.13,0.27,43.0,3.0,3.0,1.0
115.5,-32.5,6210.27,6.5,142.5,3559.0,3566.0,281.1,296.8,292430.0,294423.0,0.52,0.0,2635.11,0.17,0.59,0.0,3.0,2.0,1.0
124.5,-32.5,5272.65,18.0,38.0,3561.0,3592.0,276.0,301.0,289265.0,291887.0,0.0,3.0,3611.34,0.23,0.62,25.0,4.0,3.0,1.0
125.5,-32.5,4977.25,18.0,38.0,3573.0,3606.0,278.0,298.0,289300.0,292206.0,0.0,1.0,2277.89,0.19,0.6,25.0,4.0,3.0,1.0
126.5,-32.5,5132.16,18.0,38.0,3579.0,3613.0,277.6,298.9,289333.0,292363.0,0.0,0.0,1078.38,0.17,0.63,0.0,4.0,3.0,1.0
127.5,-32.5,5172.3,11.33,38.0,3580.0,3613.0,277.3,300.2,289167.0,292307.0,0.0,0.0,1090.78,0.17,0.75,0.0,4.0,3.0,1.0
128.5,-32.5,4988.7,8.0,38.0,3580.0,3613.0,277.3,301.0,289097.0,292280.0,0.0,0.0,733.225,0.19,0.66,0.0,4.0,3.0,1.0
132.5,-32.5,4603.2,9.43,20.86,3588.0,3612.0,277.3,302.0,289367.0,292380.0,0.0,1.79,1255.3,0.17,0.59,16.0,4.0,3.0,1.0
133.5,-32.5,3938.4,14.67,31.33,3595.0,3616.0,277.0,302.4,289317.0,292233.0,0.0,0.0,393.811,0.27,1.17,0.0,4.0,3.0,1.0
134.5,-32.5,3769.2,18.0,38.0,3588.0,3609.0,277.0,303.0,289213.0,292045.0,0.0,5.0,2750.0,0.63,2.55,25.0,3.0,3.0,1.0
137.5,-32.5,4011.6,18.0,38.0,3618.0,3648.0,275.0,303.0,288087.0,290700.0,0.0,6.0,2992.65,0.21,3.9,25.0,3.0,4.5,1.0
151.5,-32.5,5115.6,75.0,75.0,3553.0,3560.0,278.0,297.0,292362.0,296914.0,1.0,15.0,3687.71,-9999.0,-9999.0,300.0,3.0,4.0,1.0
152.5,-32.5,5289.18,75.0,120.0,3549.0,3560.0,278.0,297.0,293017.0,297705.0,1.0,13.0,4144.1,0.32,0.49,0.0,3.0,4.0,1.0
115.5,-33.5,4624.23,8.0,150.0,3565.0,3569.0,281.0,295.0,292430.0,294423.0,1.0,5.0,2548.24,0.28,0.92,0.0,3.0,2.0,1.0
119.5,-33.5,3556.8,18.0,38.0,3536.0,3574.0,277.0,299.0,289763.0,292053.0,1.0,6.0,4005.79,-9999.0,-9999.0,25.0,5.0,2.0,1.0
